pid,image,session_id,parent_id,command_line,start_s,end_s,duration_s,first_io_s,first_image_s
0,Idle,4294967295,0,,0.05464429999999998,163.12679260000002,163.0721483,,0.05476219999999998
4,System,4294967295,0,,0.05465350000000002,163.2664373,163.2117838,1.7633135999999998,
140,Secure System,4294967295,4,,0.05479149999999999,163.2664797,163.2116882,,
184,Registry,4294967295,4,,0.05479290000000003,163.26665210000002,163.21185920000002,2.3459306,
780,smss.exe,4294967295,4,\SystemRoot\System32\smss.exe,2.3304546999999998,163.2668586,160.93640390000002,2.4049221000000003,
820,autochk.exe,4294967295,780,\??\C:\WINDOWS\system32\autochk.exe *,2.6794459,2.9811015999999997,0.3016556999999995,2.7139128,
944,smss.exe,0,780,\SystemRoot\System32\smss.exe 000000ec 000000c4 ,3.3378614000000004,9.154996699999998,5.817135299999998,8.719747799999999,
1040,csrss.exe,0,944,"%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16",8.8036132,163.2730558,154.4694426,8.8102133,
1120,smss.exe,1,780,\SystemRoot\System32\smss.exe 000000d8 000000c4 ,9.149494699999998,163.3414571,154.19196240000002,9.201778,
1128,wininit.exe,0,944,wininit.exe,9.1508256,163.2734833,154.12265770000002,9.168359699999998,
1136,csrss.exe,1,1120,"%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16",9.159423199999999,163.2786144,154.11919120000002,9.2378144,
1196,winlogon.exe,1,1120,winlogon.exe,9.2028419,163.28076620000002,154.0779243,9.2160257,
1264,services.exe,0,1128,C:\WINDOWS\system32\services.exe,9.288895899999998,163.2857874,153.9968915,9.341783699999999,
1292,LsaIso.exe,0,1128,\??\C:\WINDOWS\system32\lsaiso.exe -CredGuard -KeyGuard,9.347926399999999,163.28612850000002,153.9382021,9.3597077,
1300,lsass.exe,0,1128,C:\WINDOWS\system32\lsass.exe,9.357492399999998,163.2879629,153.9304705,9.3790354,
1456,svchost.exe,0,1264,C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p,10.120835699999999,163.29202370000002,153.17118800000003,10.179524899999999,
1464,WUDFHost.exe,0,1264,"""C:\Windows\System32\WUDFHost.exe"" -HostGUID:{193a1820-d9ac-4997-8c55-be817523f6aa} -IoEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-05f89f89-223b-4c30-b928-d0e539f30c43 -SystemEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-95dba7d3-c762-4f50-a845-f237ab8c2f58 -IoCancelEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-f0126499-c0c3-4d62-be36-a8b4b478e69c -NonStateChangingEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-945e6d00-8bf3-49fb-94b1-4571cec2335a -LifetimeId:487dd13f-8f48-4acb-95a9-cb03193081e6 -DeviceGroupId:WudfDefaultDevicePool -HostArg:0",10.1380132,163.293669,153.1556558,10.148195199999998,
1508,fontdrvhost.exe,0,1128,"""fontdrvhost.exe""",10.190504999999998,163.2947098,153.1042048,10.211889099999999,
1516,fontdrvhost.exe,1,1196,"""fontdrvhost.exe""",10.190506699999998,163.2963039,153.1057972,10.3243301,
1620,svchost.exe,0,1264,C:\WINDOWS\system32\svchost.exe -k RPCSS -p,10.383826699999998,163.3244572,152.94063050000003,10.434877899999998,
1680,WUDFHost.exe,0,1264,"""C:\Windows\System32\WUDFHost.exe"" -HostGUID:{193a1820-d9ac-4997-8c55-be817523f6aa} -IoEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-889efed8-432f-43b9-aa97-22dbe8798662 -SystemEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-ac3f02ae-bfd4-4ce5-bcd0-e33f1909ee19 -IoCancelEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-ceac802b-b090-4c7a-8492-f268fdec1985 -NonStateChangingEventPortName:\UMDFCommunicationPorts\WUDF\HostProcess-b9be3618-854f-43b8-9642-228766828f7f -LifetimeId:df268a61-d649-4933-bdd2-2d05120d8834 -DeviceGroupId: -HostArg:0",10.468791399999999,163.3272324,152.85844100000003,10.5552543,
1704,svchost.exe,0,1264,C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p -s LSM,10.497837099999998,163.3281079,152.8302708,10.548830999999998,
1780,LogonUI.exe,1,1196,"""LogonUI.exe"" /flags:0x2 /state0:0xa3bd3055 /state1:0x41c64e6d",10.727805899999998,66.4752053,55.7473994,10.7773615,
1820,dwm.exe,1,1196,"""dwm.exe""",10.7714454,163.3304621,152.5590167,10.8213943,
2040,svchost.exe,0,1264,C:\WINDOWS\system32\svchost.exe -k LocalServiceNoNetwork -p,11.605969799999999,163.3312153,151.7252455,11.706425999999999,
756,svchost.exe,0,1264,C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s wlidsvc,11.606115899999999,163.3345255,151.72840960000002,11.795698699999999,
948,svchost.exe,0,1264,C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s PrintDeviceConfigurationService,11.6069561,132.0020288,120.3950727,11.823549599999998,
1044,svchost.exe,0,1264,C:\WINDOWS\system32\svchost.exe -k UserProfileService -p,11.607619699999999,163.3378084,151.7301887,11.8008952,
1124,svchost.exe,0,1264,C:\WINDOWS\System32\svchost.exe -k NetworkService -s TermService,11.608737699999999,163.3398986,151.7311609,11.800165199999999,
748,svchost.exe,0,1264,C:\WINDOWS\System32\svchost.exe -k wsappx -p -s ClipSVC,11.6197466,163.34189080000002,151.7221442,11.823034499999999,
1248,svchost.exe,0,1264,C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s lmhosts,11.627516799999999,163.34234370000001,151.71482690000002,11.842127699999999,
1276,svchost.exe,0,1264,C:\WINDOWS\System32\svchost.exe -k netsvcs -p -s BDESVC,11.6275173,163.3451727,151.7176554,11.8108709,
2056,svchost.exe,0,1264,C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s HvHost,11.628160399999999,163.3455856,151.71742519999998,11.8759755,
2064,svchost.exe,0,1264,C:\WINDOWS\system32\svchost.exe -k LocalService -p -s nsi,11.635128499999999,163.3461009,151.7109724,11.830685599999999,
2116,svchost.exe,0,1264,C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -s BTAGService,11.6597569,163.3466902,151.68693330000002,11.859249299999998,
2168,svchost.exe,0,1264,C:\WINDOWS\system32\svchost.exe -k LocalService -p -s bthserv,11.674658699999998,163.34766100000002,151.6730023,11.896686399999998,
2228,svchost.exe,0,1264,C:\WINDOWS\system32\svchost.exe -k NetworkService -p,11.736048499999999,163.3486417,151.6125932,11.881928599999998,
2236,svchost.exe,0,1264,C:\WINDOWS\system32\svchost.exe -k LocalService -p -s BthAvctpSvc,11.736153299999998,163.34934710000002,151.61319380000003,12.006396899999999,
2276,svchost.exe,0,1264,C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s TimeBrokerSvc,11.768943199999999,163.3499769,151.5810337,11.9772325,
2340,svchost.exe,0,1264,C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s NcbService,11.7868737,163.3555581,151.5686844,12.050803899999998,
2452,svchost.exe,0,1264,C:\WINDOWS\system32\svchost.exe -k NetworkService -p,11.858225999999998,163.3566501,151.4984241,12.078877799999999,
2576,svchost.exe,0,1264,C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s AppIDSvc,11.9732615,163.3574579,151.3841964,12.197266299999999,
2604,svchost.exe,0,1264,C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s Schedule,11.990223799999999,163.3605622,151.3703384,12.390359199999999,
2640,svchost.exe,0,1264,C:\WINDOWS\system32\svchost.exe -k UserProfileService -p -s ProfSvc,12.020699099999998,163.36133,151.3406309,12.290684099999998,
2688,svchost.exe,0,1264,C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s Dhcp,12.079785499999998,163.3625349,151.28274940000003,12.286545199999999,
2736,IntelCpHDCPSvc.exe,0,1264,C:\WINDOWS\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_5eab2c247814453c\IntelCpHDCPSvc.exe,12.146722899999999,163.36324390000001,151.21652100000003,12.268727199999999,
2748,svchost.exe,0,1264,C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s DisplayEnhancementService,12.161799299999998,163.3640288,151.2022295,12.465494099999999,
2784,svchost.exe,0,1264,C:\WINDOWS\System32\svchost.exe -k CameraMonitor,12.2037383,160.1849194,147.98118110000001,12.4715803,
2800,svchost.exe,0,1264,C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s UmRdpService,12.220919599999998,163.3646227,151.1437031,12.526640899999999,
2840,svchost.exe,0,1264,C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s hidserv,12.2551364,163.3652475,151.1101111,12.493509699999999,
2860,svchost.exe,0,1264,C:\WINDOWS\system32\svchost.exe -k LocalServiceRedirectionGuard -p -s EventSystem,12.273954199999999,163.3658747,151.09192050000001,12.529961599999998,
2908,svchost.exe,0,1264,C:\WINDOWS\System32\svchost.exe -k netprofm -p -s netprofm,12.319509299999998,163.36793070000002,151.04842140000002,12.5375009,
3012,svchost.exe,0,1264,C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s UserManager,12.4436495,163.36870240000002,150.92505290000003,12.633072799999999,
3056,svchost.exe,0,1264,C:\WINDOWS\system32\svchost.exe -k LocalService -p -s DispBrokerDesktopSvc,12.48763,163.36923000000002,150.88160000000002,12.699883699999999,
1028,svchost.exe,0,1264,C:\WINDOWS\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p,12.505213399999999,163.3708445,150.8656311,12.6922901,
3156,svchost.exe,0,1264,C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -s WPDBusEnum,12.5547937,144.81958020000002,132.2647865,12.79708,
3220,upfc.exe,0,1264,C:\WINDOWS\System32\Upfc.exe /launchtype boot /cv QEN26e3XCE+8Zu53S/YB1Q.0,12.572055099999998,12.768450499999998,0.1963954000000001,12.690739599999999,
3404,svchost.exe,0,1264,C:\WINDOWS\system32\svchost.exe -k netsvcsRedirectionGuard -p -s SENS,12.662440899999998,163.371701,150.7092601,12.894994399999998,
3412,svchost.exe,0,1264,C:\WINDOWS\system32\svchost.exe -k netsvcs -s CertPropSvc,12.662441799999998,163.3721585,150.7097167,13.041546499999999,
3616,svchost.exe,0,1264,C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s DeviceAssociationService,12.816125099999999,163.3726375,150.5565124,13.199519999999998,
3728,igfxCUIServiceN.exe,0,1264,C:\WINDOWS\System32\DriverStore\FileRepository\cui_dch.inf_amd64_98abc5cbb5403498\igfxCUIServiceN.exe,12.941978299999999,163.3740246,150.43204630000002,12.980120399999999,
3788,taskhostw.exe,0,2604,taskhostw.exe ExploitGuardPolicy,12.983529999999998,163.57063540000001,150.5871054,16.6814782,
3804,bcmUshUpgradeService.exe,0,1264,C:\WINDOWS\System32\bcmUshUpgradeService.exe,13.003737799999998,163.3746094,150.3708716,13.0874987,
3820,dxgiadaptercache.exe,0,2604,"""C:\WINDOWS\system32\dxgiadaptercache.exe""",13.028812899999998,21.572238,8.5434251,17.0664763,
3856,svchost.exe,0,1264,C:\WINDOWS\System32\svchost.exe -k NetworkService -p -s LanmanWorkstation,13.068471099999998,163.3755665,150.30709539999998,13.295960599999999,
3968,nxtsvc.exe,0,1264,"""C:\Program Files\Nexthink\Collector\Collector\nxtsvc.exe""",13.2612394,163.3781127,150.1168733,13.3163305,
4044,nxtcssu.exe,0,1264,"""C:\Program Files\Nexthink\Collector\Coordinator\nxtcssu.exe""",13.318827099999998,163.3792749,150.06044780000002,13.440598499999998,
4064,nxtcoordinator.exe,0,1264,"""C:\Program Files\Nexthink\Collector\Coordinator\nxtcoordinator.exe""",13.330001399999999,163.3817829,150.0517815,13.4249067,
3184,svchost.exe,0,1264,C:\WINDOWS\system32\svchost.exe -k LocalServiceHttp -p,13.350698999999999,163.3824505,150.0317515,13.669459199999999,
4192,svchost.exe,0,1264,C:\WINDOWS\System32\svchost.exe -k netsvcs -p -s SessionEnv,13.560723499999998,163.3834142,149.8226907,13.723960799999999,
4220,svchost.exe,0,1264,C:\WINDOWS\system32\svchost.exe -k LocalService -p -s FontCache,13.607233299999999,163.38389270000002,149.77665940000003,13.8475022,
4308,ClipRenew.exe,0,2604,"""C:\WINDOWS\system32\ClipRenew.exe"" -e",13.7486743,21.138725,7.3900507000000015,17.0125333,
4396,svchost.exe,0,1264,C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s EventLog,13.803302799999999,163.3873731,149.58407029999998,13.928717599999999,
4496,svchost.exe,0,1264,C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s Winmgmt,13.895975799999999,163.3889878,149.493012,14.0510758,
4520,svchost.exe,0,1264,C:\WINDOWS\System32\svchost.exe -k netsvcs -p -s Themes,13.944130199999998,163.3895939,149.4454637,14.067188599999998,
4528,svchost.exe,0,1264,C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s SysMain,13.947956699999999,163.3906198,149.4426631,14.073759699999998,
4536,svchost.exe,0,1264,C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s CscService,13.955725,163.3918712,149.4361462,14.130928199999998,
4648,MemCompression,4294967295,4,,14.1341735,163.3927165,149.258543,,
4664,nxtcupm.exe,0,4064,"""C:\Program Files\Nexthink\Collector\Coordinator\nxtcupm.exe"" ",14.144070199999998,163.3933867,149.24931650000002,14.198845599999999,
4680,svchost.exe,0,1264,C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s AudioEndpointBuilder,14.162080799999998,163.3940763,149.23199549999998,14.3930818,
4700,conhost.exe,0,4664,\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1,14.198553999999998,163.3943883,149.1958343,14.239943799999999,
4708,taskhostw.exe,0,2604,taskhostw.exe TimeSyncTask,14.199667299999998,21.1832407,6.983573400000001,20.3397613,
4728,nxtconnectivity.exe,0,4064,"""C:\Program Files\Nexthink\Collector\ConnectivityData\nxtconnectivity.exe"" ",14.246869099999998,163.3957871,149.148918,14.565118199999999,
4764,conhost.exe,0,4728,\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1,14.279648599999998,163.39651650000002,149.11686790000002,,
4792,nxtcltdd.exe,0,4064,"""C:\Program Files\Nexthink\Collector\DeviceData\nxtcltdd.exe"" ",14.3512908,163.39855260000002,149.04726180000003,14.693964699999999,
4840,nxtsessions.exe,0,4064,"""C:\Program Files\Nexthink\Collector\SessionsData\nxtsessions.exe"" ",14.462310699999998,163.4005979,148.93828720000002,14.671077699999998,
4848,conhost.exe,0,4792,\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1,14.465591199999999,163.4009378,148.9353466,14.950663899999999,
4884,conhost.exe,0,4840,\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1,14.5182969,163.40118900000002,148.88289210000002,,
4968,svchost.exe,0,1264,C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p,14.620840499999998,163.4024646,148.78162410000002,14.973906399999999,
4996,dsregcmd.exe,0,2604,"""C:\WINDOWS\System32\dsregcmd.exe"" $(Arg0) $(Arg1) $(Arg2)",14.661917399999998,23.8216451,9.159727700000003,21.1347451,
5152,svchost.exe,0,1264,C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s TextInputManagementService,14.991004499999999,163.40340840000002,148.41240390000002,15.1514946,
5236,WmiPrvSE.exe,0,1456,C:\WINDOWS\system32\wbem\wmiprvse.exe -secured -Embedding,15.160513899999998,163.4050154,148.2445015,15.230371499999999,
5272,svchost.exe,0,1264,C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s Wcmsvc,15.199237199999999,163.4060451,148.2068079,15.453131599999997,
5280,svchost.exe,0,1264,C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s DusmSvc,15.226876099999998,163.4066838,148.1798077,15.5404678,
5316,svchost.exe,0,1264,C:\WINDOWS\System32\svchost.exe -k netsvcs -p,15.263965599999999,163.4076555,148.1436899,15.4953384,
5400,svchost.exe,0,1264,C:\WINDOWS\system32\svchost.exe -k appmodel -p -s StateRepository,15.407870599999997,163.40832410000002,148.00045350000002,15.603428799999998,
5408,svchost.exe,0,1264,C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s NgcSvc,15.4214158,163.40897,147.9875542,15.562466799999997,
5436,audiodg.exe,0,4968,C:\WINDOWS\system32\AUDIODG.EXE 0x00000000000005F8 0x00000000000005E4,15.4408765,163.409487,147.9686105,15.4576501,
5600,svchost.exe,0,1264,C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s dot3svc,15.629370499999999,163.4104562,147.7810857,15.922256199999998,
5668,svchost.exe,0,1264,C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p,15.692309,163.4124319,147.7201229,15.9139565,
5696,svchost.exe,0,1264,C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s NgcCtnrSvc,15.7386088,163.413258,147.6746492,15.942850599999998,
